mix_id,C-S-H_1.0,Calcite,Ettringite,Hydrotalcite,Silica_gel
MIX_0000,0.24767553,0.0,0.00854325,0.021444308999999998,0.82813541
MIX_0001,0.24767553,0.0,0.00854325,0.021444308999999998,0.8290280299999999
MIX_0002,0.24767553,0.0,0.00854325,0.021444308999999998,0.82992065
MIX_0003,0.24767553,0.0,0.00854325,0.021444308999999998,0.8308132699999999
MIX_0004,0.24767553,0.0,0.00854325,0.021444308999999998,0.8364686000000001
MIX_0005,0.24767553,0.0,0.00854325,0.021444308999999998,0.8378213400000001
MIX_0006,0.24767553,0.0,0.00854325,0.021444308999999998,0.83917408
MIX_0007,0.24767553,0.0,0.00854325,0.021444308999999998,0.84052682
MIX_0008,0.24767553,0.0,0.00854325,0.021444308999999998,0.84497541
MIX_0009,0.24767553,0.0,0.00854325,0.021444308999999998,0.84679785
MIX_0010,0.24767553,0.0,0.00854325,0.021444308999999998,0.8486202899999999
MIX_0011,0.24767553,0.0,0.00854325,0.021444308999999998,0.8504427299999999
MIX_0012,0.24767553,0.0,0.00854325,0.021444308999999998,0.8536613
MIX_0013,0.24767553,0.0,0.00854325,0.021444308999999998,0.85596333
MIX_0014,0.24767553,0.0,0.00854325,0.021444308999999998,0.8582653600000001
MIX_0015,0.24767553,0.0,0.00854325,0.021444308999999998,0.8605673899999999
MIX_0016,0.2457543168075,0.0019212131924999998,0.00854325,0.021444308999999998,0.8300566231925
MIX_0017,0.245648237131875,0.002027292868125,0.00854325,0.021444308999999998,0.8310553228681249
MIX_0018,0.24554215745625,0.0021333725437499996,0.00854325,0.021444308999999998,0.83205402254375
MIX_0019,0.245436077780625,0.002239452219375,0.00854325,0.021444308999999998,0.8330527222193749
MIX_0020,0.24574265176687501,0.0019328782331249998,0.00854325,0.021444308999999998,0.838401478233125
MIX_0021,0.24563592614437502,0.0020396038556249997,0.00854325,0.021444308999999998,0.839860943855625
MIX_0022,0.2455292043215625,0.0021463256784374995,0.00854325,0.021444308999999998,0.8413204056784376
MIX_0023,0.24542248249875,0.00225304750125,0.00854325,0.021444308999999998,0.84277986750125
MIX_0024,0.24573074354625002,0.0019447864537499998,0.00854325,0.021444308999999998,0.8469201964537499
MIX_0025,0.24562336437750001,0.0020521656225,0.00854325,0.021444308999999998,0.8488500156225
MIX_0026,0.2455159814090625,0.0021595485909374997,0.00854325,0.021444308999999998,0.8507798385909374
MIX_0027,0.2454086022403125,0.0022669277596874997,0.00854325,0.021444308999999998,0.8527096577596874
MIX_0028,0.24571858834593752,0.0019569416540624997,0.00854325,0.021444308999999998,0.8556182416540624
MIX_0029,0.2456105328328125,0.0020649971671875,0.00854325,0.021444308999999998,0.8580283271671875
MIX_0030,0.245502481119375,0.002173048880625,0.00854325,0.021444308999999998,0.8604384088806251
MIX_0031,0.2453944294059375,0.0022811005940624996,0.00854325,0.021444308999999998,0.8628484905940624
MIX_0032,0.2442600365025,0.0034154934975,0.00854325,0.021444308999999998,0.8315509034974999
MIX_0033,0.2440714504125,0.0036040795875,0.00854325,0.021444308999999998,0.8326321095874999
MIX_0034,0.2438828643225,0.0037926656775,0.00854325,0.021444308999999998,0.8337133156775001
MIX_0035,0.2436942782325,0.0039812517675,0.00854325,0.021444308999999998,0.8347945217674999
MIX_0036,0.24423930034125,0.0034362296587499997,0.00854325,0.021444308999999998,0.8399048296587501
MIX_0037,0.24404956927875002,0.00362596072125,0.00854325,0.021444308999999998,0.8414473007212501
MIX_0038,0.24385983821625,0.00381569178375,0.00854325,0.021444308999999998,0.84298977178375
MIX_0039,0.24367011222,0.004005417779999999,0.00854325,0.021444308999999998,0.84453223778
MIX_0040,0.24421813354875,0.0034573964512499998,0.00854325,0.021444308999999998,0.84843280645125
MIX_0041,0.2440272321825,0.0036482978175,0.00854325,0.021444308999999998,0.8504461478174999
MIX_0042,0.2438363358825,0.0038391941175,0.00854325,0.021444308999999998,0.8524594841174999
MIX_0043,0.24364543451625,0.00403009548375,0.00854325,0.021444308999999998,0.8544728254837499
MIX_0044,0.24419652092625,0.00347900907375,0.00854325,0.021444308999999998,0.8571403090737499
MIX_0045,0.24400442899125,0.00367110100875,0.00854325,0.021444308999999998,0.85963443100875
MIX_0046,0.24381233705625,0.00386319294375,0.00854325,0.021444308999999998,0.8621285529437501
MIX_0047,0.243620240055,0.004055289944999999,0.00854325,0.021444308999999998,0.8646226799449999
MIX_0048,0.2423388245765625,0.005336705423437499,0.00854325,0.021444308999999998,0.8334721154234375
MIX_0049,0.2420441588109375,0.0056313711890625,0.00854325,0.021444308999999998,0.8346594011890625
MIX_0050,0.2417494930453125,0.005926036954687499,0.00854325,0.021444308999999998,0.8358466869546874
MIX_0051,0.2414548272796875,0.0062207027203125,0.00854325,0.021444308999999998,0.8370339727203124
MIX_0052,0.24230641957500001,0.0053691104249999995,0.00854325,0.021444308999999998,0.8418377104250001
MIX_0053,0.24200996795625002,0.005665562043749999,0.00854325,0.021444308999999998,0.8434869020437501
MIX_0054,0.24171351633750002,0.005962013662499999,0.00854325,0.021444308999999998,0.8451360936625
MIX_0055,0.2414170583859375,0.0062584716140624995,0.00854325,0.021444308999999998,0.8467852916140625
MIX_0056,0.242273349628125,0.005402180371874999,0.00854325,0.021444308999999998,0.850377590371875
MIX_0057,0.2419750678265625,0.005700462173437499,0.00854325,0.021444308999999998,0.8524983121734374
MIX_0058,0.241676786025,0.005998743974999999,0.00854325,0.021444308999999998,0.8546190339749999
MIX_0059,0.24137851055625,0.006297019443749999,0.00854325,0.021444308999999998,0.8567397494437499
