mix_id,C-S-H_1.0,Calcite,Ettringite,Hydrotalcite,Silica_gel
MIX_0000,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0497543754328
MIX_0001,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.049808004042399996
MIX_0002,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.049861632652000006
MIX_0003,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.049915261261599994
MIX_0004,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.050255033488000006
MIX_0005,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0503363061072
MIX_0006,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.05041757872640001
MIX_0007,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.050498851345600004
MIX_0008,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0507661226328
MIX_0009,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.050875614828
MIX_0010,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0509851070232
MIX_0011,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0510945992184
MIX_0012,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.051287970904
MIX_0013,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0514262768664
MIX_0014,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.051564582828800005
MIX_0015,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0517028887912
MIX_0016,0.041778233857275006,0.000192294228437325,0.010721778749999999,0.009499828887,0.0498698019214054
MIX_0017,0.041760200312418755,0.00020291174317063122,0.010721778749999999,0.009499828887,0.04992980379791694
MIX_0018,0.041742166767562504,0.00021352925790393745,0.010721778749999999,0.009499828887,0.049989805674428504
MIX_0019,0.04172413322270625,0.00022414677263724373,0.010721778749999999,0.009499828887,0.050049807550940045
MIX_0020,0.04177625080036876,0.00019346178235348123,0.010721778749999999,0.009499828887,0.05037116081224616
MIX_0021,0.04175810744454376,0.00020414394990950622,0.010721778749999999,0.009499828887,0.050458845506845956
MIX_0022,0.04173996473466563,0.0002148257371548093,0.010721778749999999,0.009499828887,0.05054652997316053
MIX_0023,0.041721822024787504,0.0002255075244001125,0.010721778749999999,0.009499828887,0.0506342144394751
MIX_0024,0.041774226402862505,0.0001946536761558375,0.010721778749999999,0.009499828887,0.0508829654029413
MIX_0025,0.041755971944175005,0.00020540125715602498,0.010721778749999999,0.009499828887,0.0509989089385998
MIX_0026,0.041737716839540626,0.00021614921846693436,0.010721778749999999,0.009499828887,0.05111485270254352
MIX_0027,0.041719462380853126,0.00022689679946712185,0.010721778749999999,0.009499828887,0.05123079623820202
MIX_0028,0.04177216001880938,0.0001958702901551156,0.010721778749999999,0.009499828887,0.05140554395857607
MIX_0029,0.04175379058157813,0.00020668556646379684,0.010721778749999999,0.009499828887,0.051550341896204624
MIX_0030,0.041735421790293756,0.00021750046246175623,0.010721778749999999,0.009499828887,0.05169513960554795
MIX_0031,0.04171705299900938,0.0002283153584597156,0.010721778749999999,0.009499828887,0.051839937314891275
MIX_0032,0.041524206205425004,0.00034185674416477497,0.010721778749999999,0.009499828887,0.049959578282129796
MIX_0033,0.041492146570125,0.000360732325912875,0.010721778749999999,0.009499828887,0.050024537144016994
MIX_0034,0.041460086934825,0.000379607907660975,0.010721778749999999,0.009499828887,0.050089496005904205
MIX_0035,0.041428027299525,0.000398483489409075,0.010721778749999999,0.009499828887,0.050154454867791395
MIX_0036,0.0415206810580125,0.0003439322265442875,0.010721778749999999,0.009499828887,0.05046148216589771
MIX_0037,0.0414884267773875,0.0003629224085899125,0.010721778749999999,0.009499828887,0.05055415382733271
MIX_0038,0.041456172496762506,0.00038191259063553753,0.010721778749999999,0.009499828887,0.0506468254887677
MIX_0039,0.04142391907740001,0.00040090226560019995,0.010721778749999999,0.009499828887,0.0507394968458224
MIX_0040,0.0415170827032875,0.00034605081080561246,0.010721778749999999,0.009499828887,0.0509738430115911
MIX_0041,0.041484629471025006,0.000365158128553575,0.010721778749999999,0.009499828887,0.051094804560875395
MIX_0042,0.041452177100025,0.000384264939220575,0.010721778749999999,0.009499828887,0.0512157658057794
MIX_0043,0.041419723867762506,0.0004033722569685375,0.010721778749999999,0.009499828887,0.0513367273550637
MIX_0044,0.0415134085574625,0.0003482140181916375,0.010721778749999999,0.009499828887,0.051496989769150896
MIX_0045,0.0414807529285125,0.0003674404999657875,0.010721778749999999,0.009499828887,0.0516468366150057
MIX_0046,0.0414480972995625,0.00038666698173993753,0.010721778749999999,0.009499828887,0.051796683460860506
MIX_0047,0.04141544080935,0.0004058939705950499,0.010721778749999999,0.009499828887,0.051946530611095595
MIX_0048,0.04119760017801563,0.0005341508458318593,0.010721778749999999,0.009499828887,0.05007500469464012
MIX_0049,0.04114750699785938,0.0005636439423132656,0.010721778749999999,0.009499828887,0.05014633682343887
MIX_0050,0.041097413817703134,0.0005931370387946718,0.010721778749999999,0.009499828887,0.05021766895223762
MIX_0051,0.04104732063754688,0.0006226301352760781,0.010721778749999999,0.009499828887,0.05028900108103637
MIX_0052,0.04119209132775001,0.0005373942624382499,0.010721778749999999,0.009499828887,0.05057760964233401
MIX_0053,0.04114169455256251,0.0005670661049589375,0.010721778749999999,0.009499828887,0.05067669307478851
MIX_0054,0.041091297777375003,0.0005967379474796249,0.010721778749999999,0.009499828887,0.050775776507243
MIX_0055,0.04104089992560938,0.0006264104238515156,0.010721778749999999,0.009499828887,0.050874860320172875
