mix_id,R,f_FA,yCO2,w_SS,w_b,cement_mass_g,flyash_mass_g,gangue_mass_g,water_mass_g,sodium_silicate_mass_g,total_mass_g
MIX_0050,0.300000,0.000000,0.250000,0.020000,1.700000,30.000000,0.000000,100.000000,49.463347,3.693878,183.157224
MIX_0051,0.300000,0.000000,0.250000,0.020000,2.000000,30.000000,0.000000,100.000000,58.386939,3.877551,192.264490
MIX_0052,0.300000,0.000000,0.250000,0.030000,1.100000,30.000000,0.000000,100.000000,30.902845,5.041237,165.944082
MIX_0053,0.300000,0.000000,0.250000,0.030000,1.400000,30.000000,0.000000,100.000000,39.787052,5.319588,175.106639
MIX_0054,0.300000,0.000000,0.250000,0.030000,1.700000,30.000000,0.000000,100.000000,48.671258,5.597938,184.269196
MIX_0055,0.300000,0.000000,0.250000,0.030000,2.000000,30.000000,0.000000,100.000000,57.555464,5.876289,193.431753
MIX_0056,0.300000,0.000000,0.250000,0.040000,1.100000,30.000000,0.000000,100.000000,30.174667,6.791667,166.966333
MIX_0057,0.300000,0.000000,0.250000,0.040000,1.400000,30.000000,0.000000,100.000000,39.018667,7.166667,176.185333
MIX_0058,0.300000,0.000000,0.250000,0.040000,1.700000,30.000000,0.000000,100.000000,47.862667,7.541667,185.404333
MIX_0059,0.300000,0.000000,0.250000,0.040000,2.000000,30.000000,0.000000,100.000000,56.706667,7.916667,194.623333
MIX_0060,0.300000,0.000000,0.250000,0.050000,1.100000,30.000000,0.000000,100.000000,29.431158,8.578947,168.010105
MIX_0061,0.300000,0.000000,0.250000,0.050000,1.400000,30.000000,0.000000,100.000000,38.234105,9.052632,177.286737
MIX_0062,0.300000,0.000000,0.250000,0.050000,1.700000,30.000000,0.000000,100.000000,47.037053,9.526316,186.563368
MIX_0063,0.300000,0.000000,0.250000,0.050000,2.000000,30.000000,0.000000,100.000000,55.840000,10.000000,195.840000
MIX_0064,0.300000,0.000000,0.300000,0.020000,1.100000,30.000000,0.000000,100.000000,31.616163,3.326531,164.942694
MIX_0065,0.300000,0.000000,0.300000,0.020000,1.400000,30.000000,0.000000,100.000000,40.539755,3.510204,174.049959
MIX_0066,0.300000,0.000000,0.300000,0.020000,1.700000,30.000000,0.000000,100.000000,49.463347,3.693878,183.157224
MIX_0067,0.300000,0.000000,0.300000,0.020000,2.000000,30.000000,0.000000,100.000000,58.386939,3.877551,192.264490
MIX_0068,0.300000,0.000000,0.300000,0.030000,1.100000,30.000000,0.000000,100.000000,30.902845,5.041237,165.944082
MIX_0069,0.300000,0.000000,0.300000,0.030000,1.400000,30.000000,0.000000,100.000000,39.787052,5.319588,175.106639
MIX_0070,0.300000,0.000000,0.300000,0.030000,1.700000,30.000000,0.000000,100.000000,48.671258,5.597938,184.269196
MIX_0071,0.300000,0.000000,0.300000,0.030000,2.000000,30.000000,0.000000,100.000000,57.555464,5.876289,193.431753
MIX_0072,0.300000,0.000000,0.300000,0.040000,1.100000,30.000000,0.000000,100.000000,30.174667,6.791667,166.966333
MIX_0073,0.300000,0.000000,0.300000,0.040000,1.400000,30.000000,0.000000,100.000000,39.018667,7.166667,176.185333
MIX_0074,0.300000,0.000000,0.300000,0.040000,1.700000,30.000000,0.000000,100.000000,47.862667,7.541667,185.404333
MIX_0075,0.300000,0.000000,0.300000,0.040000,2.000000,30.000000,0.000000,100.000000,56.706667,7.916667,194.623333
MIX_0076,0.300000,0.000000,0.300000,0.050000,1.100000,30.000000,0.000000,100.000000,29.431158,8.578947,168.010105
MIX_0077,0.300000,0.000000,0.300000,0.050000,1.400000,30.000000,0.000000,100.000000,38.234105,9.052632,177.286737
MIX_0078,0.300000,0.000000,0.300000,0.050000,1.700000,30.000000,0.000000,100.000000,47.037053,9.526316,186.563368
MIX_0079,0.300000,0.000000,0.300000,0.050000,2.000000,30.000000,0.000000,100.000000,55.840000,10.000000,195.840000
MIX_0080,0.300000,0.000000,0.350000,0.020000,1.100000,30.000000,0.000000,100.000000,31.616163,3.326531,164.942694
MIX_0081,0.300000,0.000000,0.350000,0.020000,1.400000,30.000000,0.000000,100.000000,40.539755,3.510204,174.049959
MIX_0082,0.300000,0.000000,0.350000,0.020000,1.700000,30.000000,0.000000,100.000000,49.463347,3.693878,183.157224
MIX_0083,0.300000,0.000000,0.350000,0.020000,2.000000,30.000000,0.000000,100.000000,58.386939,3.877551,192.264490
MIX_0084,0.300000,0.000000,0.350000,0.030000,1.100000,30.000000,0.000000,100.000000,30.902845,5.041237,165.944082
MIX_0085,0.300000,0.000000,0.350000,0.030000,1.400000,30.000000,0.000000,100.000000,39.787052,5.319588,175.106639
MIX_0086,0.300000,0.000000,0.350000,0.030000,1.700000,30.000000,0.000000,100.000000,48.671258,5.597938,184.269196
MIX_0087,0.300000,0.000000,0.350000,0.030000,2.000000,30.000000,0.000000,100.000000,57.555464,5.876289,193.431753
MIX_0088,0.300000,0.000000,0.350000,0.040000,1.100000,30.000000,0.000000,100.000000,30.174667,6.791667,166.966333
MIX_0089,0.300000,0.000000,0.350000,0.040000,1.400000,30.000000,0.000000,100.000000,39.018667,7.166667,176.185333
MIX_0090,0.300000,0.000000,0.350000,0.040000,1.700000,30.000000,0.000000,100.000000,47.862667,7.541667,185.404333
MIX_0091,0.300000,0.000000,0.350000,0.040000,2.000000,30.000000,0.000000,100.000000,56.706667,7.916667,194.623333
MIX_0092,0.300000,0.000000,0.350000,0.050000,1.100000,30.000000,0.000000,100.000000,29.431158,8.578947,168.010105
MIX_0093,0.300000,0.000000,0.350000,0.050000,1.400000,30.000000,0.000000,100.000000,38.234105,9.052632,177.286737
MIX_0094,0.300000,0.000000,0.350000,0.050000,1.700000,30.000000,0.000000,100.000000,47.037053,9.526316,186.563368
MIX_0095,0.300000,0.000000,0.350000,0.050000,2.000000,30.000000,0.000000,100.000000,55.840000,10.000000,195.840000
MIX_0096,0.300000,0.000000,0.400000,0.020000,1.100000,30.000000,0.000000,100.000000,31.616163,3.326531,164.942694
MIX_0097,0.300000,0.000000,0.400000,0.020000,1.400000,30.000000,0.000000,100.000000,40.539755,3.510204,174.049959
MIX_0098,0.300000,0.000000,0.400000,0.020000,1.700000,30.000000,0.000000,100.000000,49.463347,3.693878,183.157224
MIX_0099,0.300000,0.000000,0.400000,0.020000,2.000000,30.000000,0.000000,100.000000,58.386939,3.877551,192.264490
MIX_0100,0.300000,0.000000,0.400000,0.030000,1.100000,30.000000,0.000000,100.000000,30.902845,5.041237,165.944082
MIX_0101,0.300000,0.000000,0.400000,0.030000,1.400000,30.000000,0.000000,100.000000,39.787052,5.319588,175.106639
MIX_0102,0.300000,0.000000,0.400000,0.030000,1.700000,30.000000,0.000000,100.000000,48.671258,5.597938,184.269196
MIX_0103,0.300000,0.000000,0.400000,0.030000,2.000000,30.000000,0.000000,100.000000,57.555464,5.876289,193.431753
MIX_0104,0.300000,0.000000,0.400000,0.040000,1.100000,30.000000,0.000000,100.000000,30.174667,6.791667,166.966333
MIX_0105,0.300000,0.000000,0.400000,0.040000,1.400000,30.000000,0.000000,100.000000,39.018667,7.166667,176.185333
MIX_0106,0.300000,0.000000,0.400000,0.040000,1.700000,30.000000,0.000000,100.000000,47.862667,7.541667,185.404333
MIX_0107,0.300000,0.000000,0.400000,0.040000,2.000000,30.000000,0.000000,100.000000,56.706667,7.916667,194.623333
MIX_0108,0.300000,0.000000,0.400000,0.050000,1.100000,30.000000,0.000000,100.000000,29.431158,8.578947,168.010105
MIX_0109,0.300000,0.000000,0.400000,0.050000,1.400000,30.000000,0.000000,100.000000,38.234105,9.052632,177.286737
MIX_0110,0.300000,0.000000,0.400000,0.050000,1.700000,30.000000,0.000000,100.000000,47.037053,9.526316,186.563368
MIX_0111,0.300000,0.000000,0.400000,0.050000,2.000000,30.000000,0.000000,100.000000,55.840000,10.000000,195.840000
MIX_0112,0.300000,0.100000,0.000000,0.020000,1.100000,27.000000,3.000000,100.000000,31.616163,3.326531,164.942694
MIX_0113,0.300000,0.100000,0.000000,0.020000,1.400000,27.000000,3.000000,100.000000,40.539755,3.510204,174.049959
MIX_0114,0.300000,0.100000,0.000000,0.020000,1.700000,27.000000,3.000000,100.000000,49.463347,3.693878,183.157224
MIX_0115,0.300000,0.100000,0.000000,0.020000,2.000000,27.000000,3.000000,100.000000,58.386939,3.877551,192.264490
MIX_0116,0.300000,0.100000,0.000000,0.030000,1.100000,27.000000,3.000000,100.000000,30.902845,5.041237,165.944082
MIX_0117,0.300000,0.100000,0.000000,0.030000,1.400000,27.000000,3.000000,100.000000,39.787052,5.319588,175.106639
MIX_0118,0.300000,0.100000,0.000000,0.030000,1.700000,27.000000,3.000000,100.000000,48.671258,5.597938,184.269196
MIX_0119,0.300000,0.100000,0.000000,0.030000,2.000000,27.000000,3.000000,100.000000,57.555464,5.876289,193.431753
MIX_0120,0.300000,0.100000,0.000000,0.040000,1.100000,27.000000,3.000000,100.000000,30.174667,6.791667,166.966333
MIX_0121,0.300000,0.100000,0.000000,0.040000,1.400000,27.000000,3.000000,100.000000,39.018667,7.166667,176.185333
MIX_0122,0.300000,0.100000,0.000000,0.040000,1.700000,27.000000,3.000000,100.000000,47.862667,7.541667,185.404333
MIX_0123,0.300000,0.100000,0.000000,0.040000,2.000000,27.000000,3.000000,100.000000,56.706667,7.916667,194.623333
MIX_0124,0.300000,0.100000,0.000000,0.050000,1.100000,27.000000,3.000000,100.000000,29.431158,8.578947,168.010105
MIX_0125,0.300000,0.100000,0.000000,0.050000,1.400000,27.000000,3.000000,100.000000,38.234105,9.052632,177.286737
MIX_0126,0.300000,0.100000,0.000000,0.050000,1.700000,27.000000,3.000000,100.000000,47.037053,9.526316,186.563368
MIX_0127,0.300000,0.100000,0.000000,0.050000,2.000000,27.000000,3.000000,100.000000,55.840000,10.000000,195.840000
MIX_0128,0.300000,0.100000,0.150000,0.020000,1.100000,27.000000,3.000000,100.000000,31.616163,3.326531,164.942694
MIX_0129,0.300000,0.100000,0.150000,0.020000,1.400000,27.000000,3.000000,100.000000,40.539755,3.510204,174.049959
