mix_id,R,f_FA,yCO2,w_SS,w_b,converged,pH,pCO2_bar,temperature_K,pressure_bar,C-S-H_1.0_mol,Calcite_mol,Ettringite_mol,Hydrotalcite_mol,Silica_gel_mol,C-S-H_1.0_kg,Calcite_kg,Ettringite_kg,Hydrotalcite_kg,Silica_gel_kg,dominant_phase_by_mass,dominant_phase_by_mole,phase_assemblage,carbonation_state,csh_silica_class,pH_regime,phase_diagram_class
MIX_0015,0.3,0.0,0.0,0.05,2.0,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.0214443089999999,0.8605673899999999,0.0421048401,0.0,0.0107217787499999,0.009499828887,0.0517028887912,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Uncarbonated,Silica dominant,Highly alkaline (pH>10.0),Silica-rich
MIX_0016,0.3,0.0,0.15,0.02,1.1,True,9.7400625,0.1519875,298.15,1.01325,0.2457543168075,0.0019212131924999,0.00854325,0.0214443089999999,0.8300566231925,0.041778233857275,0.0001922942284373,0.0107217787499999,0.009499828887,0.0498698019214054,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0017,0.3,0.0,0.15,0.02,1.4,True,9.7400625,0.1519875,298.15,1.01325,0.245648237131875,0.002027292868125,0.00854325,0.0214443089999999,0.8310553228681249,0.0417602003124187,0.0002029117431706,0.0107217787499999,0.009499828887,0.0499298037979169,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0018,0.3,0.0,0.15,0.02,1.7,True,9.7400625,0.1519875,298.15,1.01325,0.24554215745625,0.0021333725437499,0.00854325,0.0214443089999999,0.83205402254375,0.0417421667675625,0.0002135292579039,0.0107217787499999,0.009499828887,0.0499898056744285,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0019,0.3,0.0,0.15,0.02,2.0,True,9.7400625,0.1519875,298.15,1.01325,0.245436077780625,0.002239452219375,0.00854325,0.0214443089999999,0.8330527222193749,0.0417241332227062,0.0002241467726372,0.0107217787499999,0.009499828887,0.05004980755094,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0020,0.3,0.0,0.15,0.03,1.1,True,9.7400625,0.1519875,298.15,1.01325,0.245742651766875,0.0019328782331249,0.00854325,0.0214443089999999,0.838401478233125,0.0417762508003687,0.0001934617823534,0.0107217787499999,0.009499828887,0.0503711608122461,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0021,0.3,0.0,0.15,0.03,1.4,True,9.7400625,0.1519875,298.15,1.01325,0.245635926144375,0.0020396038556249,0.00854325,0.0214443089999999,0.839860943855625,0.0417581074445437,0.0002041439499095,0.0107217787499999,0.009499828887,0.0504588455068459,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0022,0.3,0.0,0.15,0.03,1.7,True,9.7400625,0.1519875,298.15,1.01325,0.2455292043215625,0.0021463256784374,0.00854325,0.0214443089999999,0.8413204056784376,0.0417399647346656,0.0002148257371548,0.0107217787499999,0.009499828887,0.0505465299731605,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0023,0.3,0.0,0.15,0.03,2.0,True,9.7400625,0.1519875,298.15,1.01325,0.24542248249875,0.00225304750125,0.00854325,0.0214443089999999,0.84277986750125,0.0417218220247875,0.0002255075244001,0.0107217787499999,0.009499828887,0.0506342144394751,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0024,0.3,0.0,0.15,0.04,1.1,True,9.7400625,0.1519875,298.15,1.01325,0.24573074354625,0.0019447864537499,0.00854325,0.0214443089999999,0.8469201964537499,0.0417742264028625,0.0001946536761558,0.0107217787499999,0.009499828887,0.0508829654029413,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0025,0.3,0.0,0.15,0.04,1.4,True,9.7400625,0.1519875,298.15,1.01325,0.2456233643775,0.0020521656225,0.00854325,0.0214443089999999,0.8488500156225,0.041755971944175,0.000205401257156,0.0107217787499999,0.009499828887,0.0509989089385998,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0026,0.3,0.0,0.15,0.04,1.7,True,9.7400625,0.1519875,298.15,1.01325,0.2455159814090625,0.0021595485909374,0.00854325,0.0214443089999999,0.8507798385909374,0.0417377168395406,0.0002161492184669,0.0107217787499999,0.009499828887,0.0511148527025435,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0027,0.3,0.0,0.15,0.04,2.0,True,9.7400625,0.1519875,298.15,1.01325,0.2454086022403125,0.0022669277596874,0.00854325,0.0214443089999999,0.8527096577596874,0.0417194623808531,0.0002268967994671,0.0107217787499999,0.009499828887,0.051230796238202,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0028,0.3,0.0,0.15,0.05,1.1,True,9.7400625,0.1519875,298.15,1.01325,0.2457185883459375,0.0019569416540624,0.00854325,0.0214443089999999,0.8556182416540624,0.0417721600188093,0.0001958702901551,0.0107217787499999,0.009499828887,0.051405543958576,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0029,0.3,0.0,0.15,0.05,1.4,True,9.7400625,0.1519875,298.15,1.01325,0.2456105328328125,0.0020649971671875,0.00854325,0.0214443089999999,0.8580283271671875,0.0417537905815781,0.0002066855664637,0.0107217787499999,0.009499828887,0.0515503418962046,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0030,0.3,0.0,0.15,0.05,1.7,True,9.7400625,0.1519875,298.15,1.01325,0.245502481119375,0.002173048880625,0.00854325,0.0214443089999999,0.8604384088806251,0.0417354217902937,0.0002175004624617,0.0107217787499999,0.009499828887,0.0516951396055479,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0031,0.3,0.0,0.15,0.05,2.0,True,9.7400625,0.1519875,298.15,1.01325,0.2453944294059375,0.0022811005940624,0.00854325,0.0214443089999999,0.8628484905940624,0.0417170529990093,0.0002283153584597,0.0107217787499999,0.009499828887,0.0518399373148912,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Alkaline (9.5-10.0),Silica-rich
MIX_0032,0.3,0.0,0.2,0.02,1.1,True,9.48675,0.20265,298.15,1.01325,0.2442600365025,0.0034154934975,0.00854325,0.0214443089999999,0.8315509034974999,0.041524206205425,0.0003418567441647,0.0107217787499999,0.009499828887,0.0499595782821297,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Moderately alkaline (9.0-9.5),Silica-rich
MIX_0033,0.3,0.0,0.2,0.02,1.4,True,9.48675,0.20265,298.15,1.01325,0.2440714504125,0.0036040795875,0.00854325,0.0214443089999999,0.8326321095874999,0.041492146570125,0.0003607323259128,0.0107217787499999,0.009499828887,0.0500245371440169,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Moderately alkaline (9.0-9.5),Silica-rich
MIX_0034,0.3,0.0,0.2,0.02,1.7,True,9.48675,0.20265,298.15,1.01325,0.2438828643225,0.0037926656775,0.00854325,0.0214443089999999,0.8337133156775001,0.041460086934825,0.0003796079076609,0.0107217787499999,0.009499828887,0.0500894960059042,Silica_gel,Silica_gel,C-S-H_1.0 + Hydrotalcite + Silica_gel,Low carbonation,Silica dominant,Moderately alkaline (9.0-9.5),Silica-rich
