mix_id,R,f_FA,yCO2,w_SS,w_b,converged,pH,pCO2_bar,num_phases,method,temperature_K,pressure_bar,CO2_fraction,pe,Eh,system_mass_kg,execution_time,input_file,input_Ca_mol,input_Si_mol,input_Al_mol,input_Fe_mol,input_Mg_mol,input_K_mol,input_Na_mol,input_S_mol,input_O_mol,input_H_mol,input_C_mol,phase_list,phase_C-S-H_1.0_mol,phase_C-S-H_1.0_kg,phase_Silica_gel_mol,phase_Silica_gel_kg,phase_Ettringite_mol,phase_Ettringite_kg,phase_Hydrotalcite_mol,phase_Hydrotalcite_kg,phase_Calcite_mol,phase_Calcite_kg,Ca_Si_ratio,total_solid_mass_kg,Calcite_mass_fraction,Ettringite_mass_fraction,Silica_gel_mass_fraction,Hydrotalcite_mass_fraction,C-S-H_1.0_mass_fraction,carbonation_degree
MIX_0010,0.3,0.0,0.0,0.04,1.7,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11331155476020001,1.5020370483398438e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0010.inp,0.24767553,1.09629582,0.47117877,0.05585885,0.07148103,0.05860121,0.07106182,0.0512595,6.35184488,5.66186043,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8486202899999999,0.0509851070232,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.2259203450920829,0.11331155476020001,,0.09462211301599532,0.4499550560938266,0.08383813017763785,0.37158469983001774,
MIX_0011,0.3,0.0,0.0,0.04,2.0,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.1134210469554,1.8835067749023438e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0011.inp,0.24767553,1.09811826,0.47117877,0.05585885,0.07148103,0.05860121,0.07459528,0.0512595,6.85683241,6.66101226,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8504427299999999,0.0510945992184,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22554540708342788,0.11342104695539999,,0.09453076856857966,0.4504860477389446,0.0837571961609546,0.37122598664985074,
MIX_0012,0.3,0.0,0.0,0.05,1.1,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11361441864100001,1.1920928955078125e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0012.inp,0.24767553,1.10133683,0.47117877,0.05585885,0.07148103,0.05860121,0.08083566,0.0512595,5.36766197,3.66355671,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8536613,0.051287970904,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22488626842481185,0.11361441864100001,,0.0943698772463185,0.45142132021920667,0.0836146414537066,0.3705941602005982,
MIX_0013,0.3,0.0,0.0,0.05,1.4,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11375272460340001,9.298324584960938e-06,/teamspace/studios/this_studio/inputs/generated/MIX_0013.inp,0.24767553,1.10363886,0.47117877,0.05585885,0.07148103,0.05860121,0.08529898,0.0512595,5.87407361,4.66270854,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.85596333,0.0514262768664,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22441718840668431,0.11375272460340001,,0.09425513786993737,0.4520883082184571,0.0835129788035403,0.3701435742289654,
MIX_0014,0.3,0.0,0.0,0.05,1.7,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11389103056580001,8.58306884765625e-06,/teamspace/studios/this_studio/inputs/generated/MIX_0014.inp,0.24767553,1.10594089,0.47117877,0.05585885,0.07148103,0.05860121,0.0897623,0.0512595,6.38048527,5.66186043,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8582653600000001,0.051564582828800005,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.2239500611805799,0.11389103056580001,,0.09414067716589389,0.4527536762759684,0.083411563065718,0.3696940826143875,
MIX_0015,0.3,0.0,0.0,0.05,2.0,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.1140293365282,9.5367431640625e-06,/teamspace/studios/this_studio/inputs/generated/MIX_0015.inp,0.24767553,1.10824292,0.47117877,0.05585885,0.07148103,0.05860121,0.09422562,0.0512595,6.88689687,6.66101221,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8605673899999999,0.0517028887912,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22348487457754437,0.1140293365282,,0.09402649412018461,0.45341743028621306,0.08331039334180118,0.3692456813748338,
MIX_0016,0.3,0.0,0.15,0.02,1.1,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11206193764411773,1.71661376953125e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0016.inp,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.0512595,5.30197706,3.6635567,0.00505624,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.2457543168075,0.041778233857275006,0.8300566231925,0.0498698019214054,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0019212131924999998,0.000192294228437325,0.2302221707998041,0.11206193764411773,0.0017159637992019174,0.09567725639799406,0.4450199856018743,0.08477301997661252,0.37281377333195365,0.0077569762007748694
MIX_0017,0.3,0.0,0.15,0.02,1.4,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11211452349050632,1.5497207641601562e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0017.inp,0.24767553,1.07670356,0.47117877,0.05585885,0.07148103,0.05860121,0.03307511,0.0512595,5.80476191,4.66270853,0.00533542,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.245648237131875,0.041760200312418755,0.8310553228681249,0.04992980379791694,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.002027292868125,0.00020291174317063122,0.23003130961784587,0.11211452349050634,0.0018098613513424717,0.09563238023613116,0.44534643861381856,0.08473325830378348,0.37247806060297917,0.00818527719434565
MIX_0018,0.3,0.0,0.15,0.02,1.7,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11216710933689494,1.2636184692382812e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0018.inp,0.24767553,1.07759618,0.47117877,0.05585885,0.07148103,0.05860121,0.03480579,0.0512595,6.30754679,5.6618604,0.0056146,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24554215745625,0.041742166767562504,0.83205402254375,0.049989805674428504,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0021333725437499996,0.00021352925790393745,0.22984076463320047,0.11216710933689494,0.0019036708619478932,0.09558754615168234,0.4456725855323276,0.08469353391284982,0.3721426626496655,0.008613578187916431
MIX_0019,0.3,0.0,0.15,0.02,2.0,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11221969518328354,0.0001552104949951172,/teamspace/studios/this_studio/inputs/generated/MIX_0019.inp,0.24767553,1.0784888,0.47117877,0.05585885,0.07148103,0.05860121,0.03653646,0.0512595,6.81033164,6.66101223,0.00589378,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.245436077780625,0.04172413322270625,0.8330527222193749,0.050049807550940045,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.002239452219375,0.00022414677263724373,0.22965053506075814,0.11221969518328354,0.0019973924547862596,0.09554275408549551,0.44599842678770457,0.08465384675140099,0.3718075790295036,0.009041879181487213
