mix_id,R,f_FA,yCO2,w_SS,w_b,cement_mass_g,flyash_mass_g,gangue_mass_g,water_mass_g,sodium_silicate_mass_g,total_mass_g,Ca_mol,Si_mol,Al_mol,Fe_mol,Mg_mol,K_mol,Na_mol,S_mol,O_mol,H_mol,C_mol,total_element_mass_g,CO2_moles,input_mass,mass_balance_error
MIX_0016,0.30000000,0.00000000,0.15000000,0.02000000,1.10000000,30.00000000,0.00000000,100.00000000,31.61616300,3.32653100,164.94269400,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.05125950,5.30197706,3.66355670,0.00505624,150.94819478,0.00505624,164.94269400,-8.48446141
MIX_0017,0.30000000,0.00000000,0.15000000,0.02000000,1.40000000,30.00000000,0.00000000,100.00000000,40.53975500,3.51020400,174.04995900,0.24767553,1.07670356,0.47117877,0.05585885,0.07148103,0.05860121,0.03307511,0.05125950,5.80476191,4.66270853,0.00533542,160.06774640,0.00533542,174.04995900,-8.03344780
MIX_0018,0.30000000,0.00000000,0.15000000,0.02000000,1.70000000,30.00000000,0.00000000,100.00000000,49.46334700,3.69387800,183.15722400,0.24767553,1.07759618,0.47117877,0.05585885,0.07148103,0.05860121,0.03480579,0.05125950,6.30754679,5.66186040,0.00561460,169.18729902,0.00561460,183.15722500,-7.62728633
MIX_0019,0.30000000,0.00000000,0.15000000,0.02000000,2.00000000,30.00000000,0.00000000,100.00000000,58.38693900,3.87755100,192.26449000,0.24767553,1.07848880,0.47117877,0.05585885,0.07148103,0.05860121,0.03653646,0.05125950,6.81033164,6.66101223,0.00589378,178.30685064,0.00589378,192.26449000,-7.25960335
MIX_0020,0.30000000,0.00000000,0.15000000,0.03000000,1.10000000,30.00000000,0.00000000,100.00000000,30.90284500,5.04123700,165.94408200,0.24767553,1.08414413,0.47117877,0.05585885,0.07148103,0.05860121,0.04750137,0.05125950,5.32678329,3.66355667,0.00508694,151.95093455,0.00508694,165.94408200,-8.43244741
MIX_0021,0.30000000,0.00000000,0.15000000,0.03000000,1.40000000,30.00000000,0.00000000,100.00000000,39.78705200,5.31958800,175.10663900,0.24767553,1.08549687,0.47117877,0.05585885,0.07148103,0.05860121,0.05012415,0.05125950,5.83093788,4.66270861,0.00536782,161.12585381,0.00536782,175.10664000,-7.98415537
MIX_0022,0.30000000,0.00000000,0.15000000,0.03000000,1.70000000,30.00000000,0.00000000,100.00000000,48.67125800,5.59793800,184.26919600,0.24767553,1.08684961,0.47117877,0.05585885,0.07148103,0.05860121,0.05274692,0.05125950,6.33509238,5.66186040,0.00564869,170.30077106,0.00564869,184.26919600,-7.58044494
MIX_0023,0.30000000,0.00000000,0.15000000,0.03000000,2.00000000,30.00000000,0.00000000,100.00000000,57.55546400,5.87628900,193.43175300,0.24767553,1.08820235,0.47117877,0.05585885,0.07148103,0.05860121,0.05536969,0.05125950,6.83924691,6.66101223,0.00592956,179.47568932,0.00592956,193.43175300,-7.21498072
MIX_0024,0.30000000,0.00000000,0.15000000,0.04000000,1.10000000,30.00000000,0.00000000,100.00000000,30.17466700,6.79166700,166.96633300,0.24767553,1.09265094,0.47117877,0.05585885,0.07148103,0.05860121,0.06399490,0.05125950,5.35210639,3.66355677,0.00511828,152.97456648,0.00511828,166.96633400,-8.37999325
MIX_0025,0.30000000,0.00000000,0.15000000,0.04000000,1.40000000,30.00000000,0.00000000,100.00000000,39.01866700,7.16666700,176.18533300,0.24767553,1.09447338,0.47117877,0.05585885,0.07148103,0.05860121,0.06752836,0.05125950,5.85765912,4.66270860,0.00540088,162.20600393,0.00540088,176.18533400,-7.93444593
MIX_0026,0.30000000,0.00000000,0.15000000,0.04000000,1.70000000,30.00000000,0.00000000,100.00000000,47.86266700,7.54166700,185.40433300,0.24767553,1.09629582,0.47117877,0.05585885,0.07148103,0.05860121,0.07106182,0.05125950,6.36321186,5.66186043,0.00568349,171.43744138,0.00568349,185.40433400,-7.53320719
MIX_0027,0.30000000,0.00000000,0.15000000,0.04000000,2.00000000,30.00000000,0.00000000,100.00000000,56.70666700,7.91666700,194.62333300,0.24767553,1.09811826,0.47117877,0.05585885,0.07148103,0.05860121,0.07459528,0.05125950,6.86876459,6.66101226,0.00596609,180.66887883,0.00596609,194.62333400,-7.16998054
MIX_0028,0.30000000,0.00000000,0.15000000,0.05000000,1.10000000,30.00000000,0.00000000,100.00000000,29.43115800,8.57894700,168.01010500,0.24767553,1.10133683,0.47117877,0.05585885,0.07148103,0.05860121,0.08083566,0.05125950,5.37796252,3.66355671,0.00515027,154.01974647,0.00515027,168.01010500,-8.32709350
MIX_0029,0.30000000,0.00000000,0.15000000,0.05000000,1.40000000,30.00000000,0.00000000,100.00000000,38.23410500,9.05263200,177.28673700,0.24767553,1.10363886,0.47117877,0.05585885,0.07148103,0.05860121,0.08529898,0.05125950,5.88494290,4.66270854,0.00543465,163.30889372,0.00543465,177.28673700,-7.88431415
MIX_0030,0.30000000,0.00000000,0.15000000,0.05000000,1.70000000,30.00000000,0.00000000,100.00000000,47.03705300,9.52631600,186.56336800,0.24767553,1.10594089,0.47117877,0.05585885,0.07148103,0.05860121,0.08976230,0.05125950,6.39192330,5.66186043,0.00571902,172.59804096,0.00571902,186.56336900,-7.48556810
MIX_0031,0.30000000,0.00000000,0.15000000,0.05000000,2.00000000,30.00000000,0.00000000,100.00000000,55.84000000,10.00000000,195.84000000,0.24767553,1.10824292,0.47117877,0.05585885,0.07148103,0.05860121,0.09422562,0.05125950,6.89890365,6.66101221,0.00600339,181.88718721,0.00600339,195.84000000,-7.12459803
MIX_0032,0.30000000,0.00000000,0.20000000,0.02000000,1.10000000,30.00000000,0.00000000,100.00000000,31.61616300,3.32653100,164.94269400,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.05125950,5.30534789,3.66355670,0.00674166,151.02236903,0.00674166,164.94269400,-8.43949170
MIX_0033,0.30000000,0.00000000,0.20000000,0.02000000,1.40000000,30.00000000,0.00000000,100.00000000,40.53975500,3.51020400,174.04995900,0.24767553,1.07670356,0.47117877,0.05585885,0.07148103,0.05860121,0.03307511,0.05125950,5.80831886,4.66270853,0.00711390,160.14601616,0.00711390,174.04995900,-7.98847809
MIX_0034,0.30000000,0.00000000,0.20000000,0.02000000,1.70000000,30.00000000,0.00000000,100.00000000,49.46334700,3.69387800,183.15722400,0.24767553,1.07759618,0.47117877,0.05585885,0.07148103,0.05860121,0.03480579,0.05125950,6.31128986,5.66186040,0.00748614,169.26966429,0.00748614,183.15722500,-7.58231662
MIX_0035,0.30000000,0.00000000,0.20000000,0.02000000,2.00000000,30.00000000,0.00000000,100.00000000,58.38693900,3.87755100,192.26449000,0.24767553,1.07848880,0.47117877,0.05585885,0.07148103,0.05860121,0.03653646,0.05125950,6.81426083,6.66101223,0.00785838,178.39331143,0.00785838,192.26449000,-7.21463364
MIX_0036,0.30000000,0.00000000,0.20000000,0.03000000,1.10000000,30.00000000,0.00000000,100.00000000,30.90284500,5.04123700,165.94408200,0.24767553,1.08414413,0.47117877,0.05585885,0.07148103,0.05860121,0.04750137,0.05125950,5.33017458,3.66355667,0.00678259,152.02555913,0.00678259,165.94408200,-8.38747770
MIX_0037,0.30000000,0.00000000,0.20000000,0.03000000,1.40000000,30.00000000,0.00000000,100.00000000,39.78705200,5.31958800,175.10663900,0.24767553,1.08549687,0.47117877,0.05585885,0.07148103,0.05860121,0.05012415,0.05125950,5.83451642,4.66270861,0.00715709,161.20459876,0.00715709,175.10664000,-7.93918565
