mix_id,R,f_FA,yCO2,w_SS,w_b,pH,C-S-H_1.0_kg,Calcite_kg,Ettringite_kg,Hydrotalcite_kg,Silica_gel_kg
MIX_2245,0.6,0.9,0.0,0.03,1.4,10.5,0.0387489432,0.0,0.0021443557499999,0.0071553732119999,0.075837806432
MIX_2261,0.6,0.9,0.15,0.03,1.4,9.7400625,0.0382570669276781,0.000289599388804,0.0021443557499999,0.0071553732119999,0.0760116412934182
MIX_2277,0.6,0.9,0.2,0.03,1.4,9.48675,0.03787449649365,0.0005148433578739,0.0021443557499999,0.0071553732119999,0.0761468461856324
MIX_2293,0.6,0.9,0.25,0.03,1.4,9.2334375,0.0373826202213281,0.000804442746678,0.0021443557499999,0.0071553732119999,0.0763206810470506
MIX_2309,0.6,0.9,0.3,0.03,1.4,8.980125000000001,0.0367814381107125,0.0011583975552163,0.0021443557499999,0.0071553732119999,0.0765331458776729
MIX_2325,0.6,0.9,0.35,0.03,1.4,8.7268125,0.0360709516690125,0.0015767068960972,0.0021443557499999,0.0071553732119999,0.0767842401448337
MIX_2341,0.6,0.9,0.4,0.03,1.4,8.5,0.0352968977,0.0020324425535,0.0021443557499999,0.0071553732119999,0.077057799924
